mode,delta_logical_error_rate,delta_p99_response_time_us,delta_deadline_miss_ratio,delta_p99_pauli_frame_lag,delta_pauli_frame_lag_violation_ratio,delta_boundary_commit_success_rate
rt_qec_without_validation,0.049749999999999996,-55.55573324976709,-0.0665,-4.0,-0.030250000000000003,0.04761904761904756
rt_qec_without_abstention,0.012,-8.271843628431242,-0.027749999999999997,-1.0,-0.010500000000000002,0.023809523809523725
rt_qec_without_scheduler,0.009000000000000001,53.92174709627446,0.0010000000000000009,2.0,0.016749999999999994,0.0
rt_qec,0.010750000000000001,-6.562919917399682,-0.017499999999999995,-1.0,-0.007500000000000003,0.023809523809523725
edf,0.004750000000000001,-55.60644379021669,-0.0755,-3.0,-0.023000000000000003,0.04761904761904756
heuristic_pre_fixed,-0.003,53.92174709627446,0.038250000000000006,2.0,0.03275,0.0
