component,mean_us,median_us,p99_us,p999_us,max_us
frontend,53.616052631578945,48.25,176.94299999999996,278.5564000000018,294.2
validation,16.326894736842103,15.0,38.504,143.45850000000095,189.9
scheduler,1.1883684210526315,1.0,3.900999999999999,13.813000000001466,28.1
fast_backend,1.9882632205360815,1.8000030517578125,2.899993896484375,23.73630487060618,239.79998779296875
accurate_backend,8.854368808144017,8.300003051757812,19.203996887207026,32.501902435304075,43.899993896484375
