mode,display_mode,logical_error_rate,p99_response_time_us,p999_response_time_us,deadline_miss_ratio,p99_pauli_frame_lag,pauli_frame_lag_violation_ratio,boundary_commit_success_rate,fast_selection_rate,accurate_selection_rate,accept_rate,abstention_rate,false_accept_rate,accepted_error_rate,validation_pass_rate,predecode_accept_rate,mean_estimated_residual_reduction
rt_qec_ai,RT-PreQEC,0.00325,102.40643547417665,146.84263382128623,0.076,8.0,0.03425,0.9523809523809524,0.052,0.948,0.321,0.679,0.1736760124610591,0.1736760124610591,0.1865,0.321,0.0977784858450293
rt_qec,Heuristic runtime,0.014,95.84351555677696,141.70462520120822,0.0585,7.0,0.02675,0.9761904761904762,0.1675,0.8325,0.31725,0.68275,0.1717888100866824,0.1717888100866824,0.186,0.31725,0.0968790540173649
rt_qec_without_validation,No validation,0.053,46.85070222440956,107.54553803861,0.0095,4.0,0.004,1.0,0.40875,0.59125,0.409,0.591,0.1735941320293398,0.1735941320293398,0.185,0.409,0.1214569044951349
rt_qec_without_abstention,No abstention,0.01525,94.1345918457454,132.0780383697942,0.04825,7.0,0.02375,0.9761904761904762,0.18575,0.81425,0.3655,0.6345000000000001,0.1751025991792065,0.1751025991792065,0.18575,0.3655,0.1060248658150434
