shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk,selected_decoder
12,84.0,84.0,108.3,0,24.3,24.299999999999997,112.0,False,1,0,False,1,1,False,False,87,False,True,risk_lstm,8,0.8839825391769409,0.44715866446495056,2.2756781578063965,0.8627230525016785,,,,,,accurate
13,91.0,108.3,125.47082838515438,0,17.17082838515438,34.47082838515438,119.0,True,2,1,False,0,0,False,False,86,False,False,risk_lstm,8,0.9831053614616394,0.11809597909450531,2.5968267917633057,0.8514304757118225,,,,,,accurate
16,112.0,125.47082838515438,147.05416654497384,0,21.583338159819473,35.05416654497384,140.0,True,2,1,False,0,0,False,False,83,False,False,risk_lstm,8,0.9597812294960022,0.2566642463207245,2.570589780807495,0.8336817026138306,,,,,,accurate
17,119.0,147.05416654497384,166.4412479289373,0,19.387081383963434,47.44124792893729,147.0,True,3,2,False,1,1,False,False,82,False,False,risk_lstm,8,0.9494704008102417,0.17223364114761353,2.315187454223633,0.8594969511032104,,,,,,accurate
25,175.0,175.0,189.20000076293945,0,14.200000762939453,14.200000762939453,203.0,False,1,0,False,1,1,False,False,74,False,True,risk_lstm,8,0.8249688744544983,0.7089074850082397,2.296368360519409,0.8915954828262329,,,,,,accurate
27,189.0,189.20000076293945,203.29999923706055,0,14.099998474121094,14.299999237060547,217.0,False,2,1,False,0,0,False,False,72,False,True,risk_lstm,8,0.9778265953063965,0.1527060866355896,2.428269147872925,0.8627718091011047,,,,,,accurate
29,203.0,203.29999923706055,220.5,0,17.200000762939453,17.5,231.0,False,2,1,False,1,1,False,False,70,False,True,risk_lstm,8,0.9709404706954956,0.15606994926929474,2.298550844192505,0.8610163927078247,,,,,,accurate
31,217.0,220.5,231.79999923706055,0,11.299999237060547,14.799999237060547,245.0,False,2,1,False,0,0,False,False,68,False,True,risk_lstm,8,0.982783317565918,0.20011752843856812,2.5925371646881104,0.8889607787132263,,,,,,accurate
32,224.0,231.79999923706055,244.0,0,12.200000762939453,20.0,252.0,False,2,1,False,0,0,False,False,67,False,True,risk_lstm,8,0.9771937131881714,0.08640997856855392,2.4107666015625,0.8781931400299072,,,,,,accurate
34,238.0,244.0,259.00000381469727,0,15.000003814697266,21.000003814697266,266.0,False,2,1,False,1,1,False,False,65,False,True,risk_lstm,8,0.9603176712989807,0.19131061434745789,2.3663828372955322,0.8551406264305115,,,,,,accurate
35,245.0,259.00000381469727,271.8000030517578,0,12.799999237060547,26.800003051757812,273.0,False,2,1,False,0,0,False,False,64,False,True,risk_lstm,8,0.9874611496925354,0.07788044959306717,2.367011308670044,0.8773288726806641,,,,,,accurate
36,252.0,271.8000030517578,286.10000228881836,0,14.299999237060547,34.10000228881836,280.0,True,3,2,False,0,0,False,False,63,False,False,risk_lstm,8,0.8500834107398987,0.44167593121528625,2.2445175647735596,0.8655804991722107,,,,,,accurate
38,266.0,286.10000228881836,303.9000015258789,0,17.799999237060547,37.900001525878906,294.0,True,3,2,False,0,0,False,False,61,False,False,risk_lstm,8,0.9016912579536438,0.28685709834098816,2.2247297763824463,0.8410519361495972,,,,,,accurate
41,287.0,303.9000015258789,322.5,0,18.599998474121094,35.5,315.0,True,2,1,False,0,0,False,False,58,False,False,risk_lstm,8,0.9442842602729797,0.24383875727653503,2.3081023693084717,0.901000440120697,,,,,,accurate
42,294.0,322.5,344.5,0,22.0,50.5,322.0,True,3,2,False,0,0,False,False,57,False,False,risk_lstm,8,0.9829313158988953,0.1118752583861351,2.5286858081817627,0.8633114099502563,,,,,,accurate
44,308.0,344.5,368.29999923706055,0,23.799999237060547,60.29999923706055,336.0,True,3,2,False,0,0,False,False,55,False,False,risk_lstm,8,0.9853001236915588,0.13914081454277039,2.6139893531799316,0.8791174292564392,,,,,,accurate
46,322.0,368.29999923706055,389.89999771118164,0,21.599998474121094,67.89999771118164,350.0,True,4,3,False,0,0,False,False,53,False,False,risk_lstm,8,0.9800077080726624,0.11331213265657425,2.432260036468506,0.8643859624862671,,,,,,accurate
