epoch,batch,split,loss,accuracy,precision,recall,risk_auc
0,0,train,2.788062572479248,0.09375,0.07083333333333333,0.6538461538461539,0.3565217391304348
0,1,train,2.7441458702087402,0.1484375,0.100418410041841,0.8888888888888888,0.48956817079087817
0,2,train,2.7429611682891846,0.1640625,0.11063829787234042,0.8387096774193549,0.4532616487455198
0,3,train,2.6981167793273926,0.13671875,0.0970464135021097,0.7666666666666667,0.40892330383480824
0,4,train,2.642068386077881,0.171875,0.12916666666666668,0.9117647058823529,0.5260996290408055
0,5,train,2.628080368041992,0.1484375,0.12133891213389121,0.7837837837837838,0.4104652597803283
0,6,train,2.5095977783203125,0.09765625,0.06172839506172839,0.8333333333333334,0.4356909430438842
0,7,train,2.4770591259002686,0.11328125,0.06808510638297872,0.6666666666666666,0.3820043103448275
0,8,train,2.475736141204834,0.91015625,0.0,0.0,0.39083784288113455
0,9,train,2.439131498336792,0.91015625,0.0,0.0,0.44672513528643404
0,10,train,2.4498021602630615,0.84375,0.0,0.0,0.44459198454852733
0,11,train,2.353438377380371,0.92578125,0.0,0.0,0.43970686209193866
0,12,train,2.3500895500183105,0.89453125,0.0,0.0,0.3898592916060165
0,13,train,2.351222276687622,0.87109375,0.0,0.0,0.3264030438918331
0,14,train,2.3724074363708496,0.86328125,0.0,0.0,0.4970265029088558
0,15,train,2.3470122814178467,0.8625,0.0,0.0,0.4542160737812912
0,-1,val,2.2812071442604065,0.8984375,0.0,0.0,0.48623047871895664
1,0,train,2.2308380603790283,0.89453125,0.0,0.0,0.41403849264111264
1,1,train,2.1732282638549805,0.88671875,0.0,0.0,0.4326295002278596
1,2,train,2.2226791381835938,0.8828125,0.0,0.0,0.4708702064896756
1,3,train,2.1867973804473877,0.890625,0.0,0.0,0.4378132832080201
1,4,train,2.141260862350464,0.8828125,0.0,0.0,0.350811209439528
1,5,train,2.1185128688812256,0.875,0.0,0.0,0.4178989955357143
1,6,train,2.130863904953003,0.88671875,0.0,0.0,0.4403767279355917
1,7,train,2.0632717609405518,0.87109375,0.0,0.0,0.4086153009919826
1,8,train,2.03311824798584,0.91796875,0.0,0.0,0.3514690982776089
1,9,train,2.042421817779541,0.85546875,0.0,0.0,0.4056522275700358
1,10,train,1.9635924100875854,0.921875,0.0,0.0,0.4345338983050848
1,11,train,1.9354389905929565,0.8984375,0.0,0.0,0.4146321070234113
1,12,train,1.895376205444336,0.875,0.0,0.0,0.4176897321428571
1,13,train,1.8761556148529053,0.875,0.0,0.0,0.42431640625
1,14,train,1.8109132051467896,0.91796875,0.0,0.0,0.4914893617021277
1,15,train,1.773826241493225,0.875,0.0,0.0,0.4375
1,-1,val,1.7435317039489746,0.8984375,0.0,0.0,0.48614620624738636
2,0,train,1.7743911743164062,0.8671875,0.0,0.0,0.45979067302596716
2,1,train,1.7320913076400757,0.859375,0.0,0.0,0.345959595959596
2,2,train,1.6437033414840698,0.8828125,0.0,0.0,0.46755162241887904
2,3,train,1.5798218250274658,0.890625,0.0,0.0,0.49201127819548873
2,4,train,1.5420513153076172,0.88671875,0.0,0.0,0.41895792192009723
2,5,train,1.484358310699463,0.9140625,0.0,0.0,0.43803418803418803
2,6,train,1.444838047027588,0.87890625,0.0,0.0,0.3951971326164875
2,7,train,1.3846638202667236,0.88671875,0.0,0.0,0.40878019140209626
2,8,train,1.3755744695663452,0.87890625,0.0,0.0,0.45792114695340497
2,9,train,1.3113713264465332,0.8515625,0.0,0.0,0.3507363592467407
2,10,train,1.2002739906311035,0.90625,0.0,0.0,0.4576149425287356
2,11,train,1.1380780935287476,0.90625,0.0,0.0,0.42061781609195403
2,12,train,1.0640647411346436,0.921875,0.0,0.0,0.436864406779661
2,13,train,1.1230496168136597,0.875,0.0,0.0,0.4001116071428571
2,14,train,0.9880456328392029,0.90234375,0.0,0.0,0.4451948051948052
2,15,train,0.9177410006523132,0.9125,0.0,0.0,0.4711350293542074
2,-1,val,0.9277310967445374,0.8984375,0.0,0.0,0.5017149467883748
3,0,train,0.9145663380622864,0.8984375,0.0,0.0,0.44899665551839474
3,1,train,0.8375548720359802,0.91796875,0.0,0.0,0.5306990881458966
3,2,train,0.8576711416244507,0.88671875,0.0,0.0,0.44964301989974187
3,3,train,0.8402086496353149,0.87890625,0.0,0.0,0.4767025089605735
3,4,train,0.7580132484436035,0.91015625,0.0,0.0,0.485538346706475
3,5,train,0.7709928750991821,0.87890625,0.0,0.0,0.48931899641577065
3,6,train,0.7911977171897888,0.859375,0.0,0.0,0.48964646464646466
3,7,train,0.6689621210098267,0.90625,0.0,0.0,0.5442708333333333
3,8,train,0.7254347801208496,0.87890625,0.0,0.0,0.5214336917562724
3,9,train,0.6685957908630371,0.90234375,0.0,0.0,0.5202597402597402
3,10,train,0.6561663746833801,0.90234375,0.0,0.0,0.5686580086580088
3,11,train,0.6963220834732056,0.87109375,0.0,0.0,0.6144177197988858
3,12,train,0.6998964548110962,0.87890625,0.0,0.0,0.5906810035842294
3,13,train,0.7326728105545044,0.859375,0.0,0.0,0.5793560606060607
3,14,train,0.6484261155128479,0.8984375,0.0,0.0,0.6048494983277591
3,15,train,0.6807312369346619,0.88125,0.0,0.0,0.5714818962299366
3,-1,val,0.6549616903066635,0.8984375,0.0,0.0,0.5161870660020714
4,0,train,0.5956518650054932,0.9140625,0.0,0.0,0.6480186480186481
4,1,train,0.6560990810394287,0.8984375,0.0,0.0,0.5326923076923077
4,2,train,0.7052571773529053,0.875,0.0,0.0,0.5322265625
4,3,train,0.6084389686584473,0.90625,0.0,0.0,0.6030890804597702
4,4,train,0.723414957523346,0.86328125,0.0,0.0,0.5567550096961862
4,5,train,0.6902322769165039,0.87109375,0.0,0.0,0.5913846990080175
4,6,train,0.5926942229270935,0.8984375,0.0,0.0,0.6464882943143814
4,7,train,0.5836684107780457,0.90234375,0.0,0.0,0.7322943722943724
4,8,train,0.7500971555709839,0.8515625,0.0,0.0,0.5296957991308546
4,9,train,0.6194226741790771,0.88671875,0.0,0.0,0.5969922527722923
