epoch,split,confidence_mean,fnr,fpr,hard_runtime_accuracy,hard_runtime_label_valid,precision,recall,risk_accuracy,runtime_mae,loss,epoch_time_sec,samples_per_sec
0,train,0.6803945865185762,0.024,0.6211020798265994,0.21271306818181818,1.0,0.6194875278231524,0.976,0.6750710227272727,1.7925241063904287,4.831237363815307,0.3593063270091079,3339.7686313761506
0,val,0.6647590531889971,0.0,0.8324859974149074,0.15147569444444445,1.0,0.23697916666666669,1.0,0.3396267361111111,1.4687722161505414,2.5501890182495117,,
1,train,0.665687351576476,0.0,0.4650798240824597,0.30752840909090906,1.0,0.6740066737753561,1.0,0.7626420454545455,1.3730126581465387,3.086723470687866,0.300105893984437,3998.588578411026
1,val,0.6606827386939484,0.0,0.8233950883239982,0.1291232638888889,1.0,0.23908730158730157,1.0,0.3465711805555556,1.1857731112139345,2.5971810817718506,,
2,train,0.6874079407065767,0.0,0.48547231459617823,0.2987926136363636,1.0,0.6782542898163403,1.0,0.7603693181818182,1.1122886030669954,2.405768871307373,0.3010900099761784,3985.5191478951474
2,val,0.6912319574039429,0.0,0.8186557518311073,0.2573784722222222,1.0,0.24006082183652278,1.0,0.3504774305555556,1.022533472233146,2.604194164276123,,
3,train,0.7325139740947634,0.0,0.4244002867159284,0.4426136363636363,1.0,0.7137992180680872,1.0,0.7941761363636364,0.9437210134147183,2.055085301399231,0.3008072499651462,3989.2655517413264
3,val,0.7300208987047274,0.0,0.8139164153382162,0.3702256944444444,1.0,0.24105271039233303,1.0,0.3543836805555556,0.8521410676899099,2.560739040374756,,
4,train,0.7660261970394375,0.0,0.42981492465599375,0.5602272727272728,1.0,0.687066734253799,1.0,0.7791903409090909,0.7433415771941805,1.9201290130615234,0.3016637440305203,3977.939091940038
4,val,0.7477359935356718,0.0,0.8139164153382162,0.5106336805555556,1.0,0.24105271039233303,1.0,0.3543836805555556,0.6834245872518299,2.483933210372925,,
5,train,0.7746217116459527,0.0,0.43124868665109,0.7157670454545455,1.0,0.6991520588356989,1.0,0.7849431818181818,0.5700769627963174,1.6837541103363036,0.298756170028355,4016.653446474789
5,val,0.7557744629965681,0.0,0.8139164153382162,0.8363715277777778,1.0,0.24105271039233303,1.0,0.3543836805555556,0.49173111822353077,2.494014263153076,,
