epoch,split,confidence_mean,fnr,fpr,hard_runtime_accuracy,hard_runtime_label_valid,precision,recall,risk_accuracy,runtime_mae,loss,epoch_time_sec,samples_per_sec
0,train,0.5960690674139186,0.3824238211099525,0.30844944222929077,0.9368607954545455,1.0,0.5330281266606816,0.6175761788900476,0.6813210227272728,2.3377111495604495,7.90947961807251,0.08511211903532967,14099.049742867819
0,val,0.5711086247465573,0.0,0.8233950883239982,0.8582899305555556,1.0,0.23908730158730157,1.0,0.3465711805555556,2.6044865350367727,2.8203965425491333,,
1,train,0.6039344153028321,0.0,0.48036822723971523,0.60234375,1.0,0.6671673708819637,1.0,0.7548295454545455,2.2443322313386975,4.80696325302124,0.08177035901462659,14675.244360677825
1,val,0.5774700407831308,0.0,0.8233950883239982,0.32552083333333337,1.0,0.23908730158730157,1.0,0.3465711805555556,2.4601773391593578,2.7301409244537354,,
2,train,0.6052420759256083,0.0,0.48547231459617823,0.4258522727272728,1.0,0.6782542898163403,1.0,0.7603693181818182,2.1537180515752086,3.0275463104248046,0.08108434203313664,14799.404791489798
2,val,0.5663054551696405,0.0,0.8233950883239982,0.296875,1.0,0.23908730158730157,1.0,0.3465711805555556,2.3225888853180656,2.76549756526947,,
3,train,0.620175120101141,0.0,0.4244002867159284,0.41321022727272727,1.0,0.7137992180680872,1.0,0.7941761363636364,1.9403427570916691,2.4627838134765625,0.08148167101899162,14727.238469622278
3,val,0.5853104932789898,0.0,0.8233950883239982,0.2999131944444444,1.0,0.23908730158730157,1.0,0.3465711805555556,2.097057393448328,2.7904069423675537,,
4,train,0.6608913943213833,0.0,0.42981492465599375,0.43465909090909094,1.0,0.687066734253799,1.0,0.7791903409090909,1.6542666848180967,2.30698184967041,0.08374647097662091,14328.961996918031
4,val,0.6258156281093963,0.0,0.8139164153382162,0.333984375,1.0,0.24105271039233303,1.0,0.3543836805555556,1.8217907317612725,2.774156093597412,,
5,train,0.7017641363877126,0.0,0.43124868665109,0.5379261363636363,1.0,0.6991520588356989,1.0,0.7849431818181818,1.3602662392287668,2.039294934272766,0.08154882700182498,14715.110494147822
5,val,0.6630973621633731,0.0,0.8139164153382162,0.4427083333333333,1.0,0.24105271039233303,1.0,0.3543836805555556,1.5259131925739393,2.70218026638031,,
6,train,0.7349498735486784,0.0,0.43122635648951435,0.66171875,1.0,0.6946559966804683,1.0,0.7823863636363637,1.0759440856011522,1.8346782207489014,0.0808289289707318,14846.16974739973
6,val,0.68357434846823,0.0,0.8139164153382162,0.4884982638888889,1.0,0.24105271039233303,1.0,0.3543836805555556,1.2782335251300743,2.624569058418274,,
7,train,0.7481267750601877,0.0,0.4495197115973385,0.7622869318181819,1.0,0.6806180164270914,1.0,0.7702414772727273,0.8505233386855192,1.6925421953201294,0.08190100302454084,14651.835211840222
7,val,0.6830277968741332,0.0,0.8139164153382162,0.65234375,1.0,0.24105271039233303,1.0,0.3543836805555556,1.0237216978375328,2.4972394704818726,,
8,train,0.7479821641252122,0.0,0.3907013872713564,0.8671164772727273,1.0,0.7222716093217741,1.0,0.8061789772727274,0.6415544411991909,1.5259110450744628,0.08085182798095047,14841.964986651043
8,val,0.6777373632907661,0.0,0.8139164153382162,0.7532552083333333,1.0,0.24105271039233303,1.0,0.3543836805555556,0.845442533228137,2.4212589263916016,,
9,train,0.7457523385316811,0.0,0.4219368001739377,0.8922585227272727,1.0,0.6966736391588472,1.0,0.7847301136363637,0.5188986628140416,1.3474323511123658,0.08135787700302899,14749.647412202306
9,val,0.6739605000734122,0.0,0.8139164153382162,0.8539496527777778,1.0,0.24105271039233303,1.0,0.3543836805555556,0.7031310258578138,2.423967480659485,,
10,train,0.7400713763326745,0.0,0.43847129668045143,0.9536931818181819,1.0,0.7206977382677152,1.0,0.7948153409090909,0.3944441620718618,1.2852794647216796,0.08060771302552894,14886.91286428078
10,val,0.6840504975860111,0.0,0.8139164153382162,0.8741319444444444,1.0,0.24105271039233303,1.0,0.3543836805555556,0.5868537160847189,2.4249067306518555,,
11,train,0.7523643945047462,0.0,0.4575451437468631,0.9413352272727273,1.0,0.6888656288639445,1.0,0.7739346590909091,0.2643060625836388,1.2082893610000611,0.0802895009983331,14945.91428616443
11,val,0.6916594368845431,0.0,0.8139164153382162,0.9142795138888888,1.0,0.24105271039233303,1.0,0.3543836805555556,0.4147344022601833,2.5109294652938843,,
12,train,0.7648559488991106,0.0,0.42658778729770164,0.9597301136363636,1.0,0.7006455346694496,1.0,0.7865767045454545,0.18252534626515335,1.2006433129310607,0.08014449698384851,14972.95566334187
12,val,0.7078935851524066,0.0,0.8139164153382162,0.9255642361111112,1.0,0.24105271039233303,1.0,0.3543836805555556,0.33377070120453506,2.54317569732666,,
13,train,0.7655133664269339,0.0,0.4428901228673287,0.9758522727272727,1.0,0.702011716690588,1.0,0.7832386363636363,0.15377641005883022,1.1254903078079224,0.08017894497606903,14966.522699421443
13,val,0.7073303854558617,0.0,0.8115467470917708,0.9598524305555556,1.0,0.24155570601068233,1.0,0.3563368055555556,0.25587944530446377,2.6846383810043335,,
14,train,0.7630527139599013,0.0,0.4378612730039036,0.9797585227272727,1.0,0.6753503707412506,1.0,0.7693181818181818,0.13645870343016953,1.0864691615104676,0.08108623401494697,14799.059477577895
14,val,0.6956353218734471,0.0,0.8115467470917708,0.9559461805555556,1.0,0.24155570601068233,1.0,0.3563368055555556,0.2537833448342546,2.6677632331848145,,
15,train,0.7525147586764598,0.0,0.45049599857042927,0.9890625,1.0,0.6742562729810524,1.0,0.7662642045454545,0.13547952521423795,1.0480720281600953,0.08035406400449574,14933.90552010986
15,val,0.6978338507340394,0.0,0.8044377423524343,0.9485677083333333,1.0,0.24309371184371184,1.0,0.3621961805555556,0.271207024118772,2.6305092573165894,,
16,train,0.7554413466883654,0.0,0.41756957248794635,0.9899147727272727,1.0,0.6823032619109834,1.0,0.7806107954545455,0.11768164752328883,0.9403211355209351,0.08022364100906998,14958.1842073751
16,val,0.6935543168413763,0.011111111111111112,0.8068074105988798,0.9255642361111112,1.0,0.24068986568986567,0.9888888888888889,0.3582899305555556,0.2921920411408341,2.577014684677124,,
17,train,0.7582769296978685,0.0,0.4454573507552243,0.989559659090909,1.0,0.6912003388454218,1.0,0.7769176136363637,0.10622639460539052,1.0082048654556275,0.08033091999823228,14938.208102514034
17,val,0.7211457143744661,0.07777777777777778,0.7878500646273158,0.9006076388888888,1.0,0.23285877925053183,0.9222222222222223,0.3621961805555556,0.2928978033307766,2.594565749168396,,
18,train,0.7750174502842129,0.0,0.3795359187464557,0.9887073863636363,1.0,0.6949016684485245,1.0,0.7969460227272728,0.08562979460216999,0.9026533126831054,0.08008279296336696,14984.49236840338
18,val,0.743950467918896,0.18856209150326797,0.6940327445066781,0.9255642361111112,1.0,0.23262175498819998,0.811437908496732,0.416015625,0.34207702582343924,2.721478581428528,,
19,train,0.7849326522724533,0.0,0.3581580862839091,0.9859375,1.0,0.7296782203396075,1.0,0.8181107954545455,0.1049329395305512,0.8605960369110107,0.08156637899810448,14711.943998738583
19,val,0.7708636835062255,0.1627450980392157,0.6918569582076691,0.9333767361111112,1.0,0.23871822033898304,0.8372549019607842,0.4229600694444444,0.4346887335780484,2.7920254468917847,,
20,train,0.8028373756107282,0.0,0.3664366782411137,0.9875710227272727,1.0,0.7259395686304632,1.0,0.8134943181818182,0.11205139332616505,0.8853726983070374,0.0800237400108017,14995.550068492457
20,val,0.796038910255043,0.25130718954248366,0.6286514433433865,0.9294704861111112,1.0,0.23647004668902477,0.7486928104575163,0.45572916666666663,0.5156909459476493,2.991230607032776,,
21,train,0.8174935473721814,0.0,0.3456056507556501,0.9949573863636363,1.0,0.7425759576540099,1.0,0.826278409090909,0.10142217513698619,0.7644132614135742,0.07994306500768289,15010.682913954757
21,val,0.817827372578904,0.36209150326797385,0.5002585092632486,0.9691840277777778,1.0,0.25244472789115646,0.6379084967320261,0.5366753472222222,0.5233395262225584,3.4686368703842163,,
22,train,0.8372565933926539,0.0,0.287277487531848,0.9930397727272726,1.0,0.7671571853088522,1.0,0.8522727272727273,0.10237859906056106,0.7377237200736999,0.08011196501320228,14979.035900595405
22,val,0.8253240872743643,0.3362745098039216,0.4937311503662215,0.9162326388888888,1.0,0.260625,0.6637254901960784,0.5466579861111112,0.5601872807088812,3.3187025785446167,,
23,train,0.8413203950124707,0.0,0.31609986416811964,0.9890625,1.0,0.7538475355741333,1.0,0.8391335227272727,0.1012353078632304,0.7479901432991027,0.0799037929973565,15018.06053236672
23,val,0.8394513956995474,0.4212418300653594,0.4583800086169754,0.9539930555555556,1.0,0.250262260687123,0.5787581699346406,0.5588107638888888,0.5495783262882346,3.807213306427002,,
24,train,0.8488366806625642,0.0,0.26934024159048725,0.99375,1.0,0.779699500301507,1.0,0.8611505681818181,0.108711268884681,0.6655294537544251,0.0799995309789665,15000.087941959364
24,val,0.8364456355468266,0.47287581699346404,0.40484704868591126,0.9735243055555556,1.0,0.2605866018743492,0.527124183006536,0.5907118055555556,0.5449173785924227,4.160495281219482,,
25,train,0.8457584221466359,0.0,0.24371263688192818,0.98984375,1.0,0.7976245217163036,1.0,0.8757102272727273,0.10429536397138581,0.6231593608856201,0.08051262696972117,14904.49442733114
25,val,0.8295919289812446,0.44705882352941173,0.4236105127100388,0.9641927083333333,1.0,0.25798525798525795,0.5529411764705883,0.5809461805555556,0.5436059706651755,4.178499817848206,,
26,train,0.8501673649763688,0.0,0.2229624202691034,0.996875,1.0,0.8150076706648391,1.0,0.8872869318181819,0.10383825363774672,0.5807267129421234,0.08015793102094904,14970.44627669324
26,val,0.8596852130204853,0.47287581699346404,0.4026712623869022,0.9696180555555556,1.0,0.2602941176470588,0.527124183006536,0.5922309027777778,0.5285764492568498,4.411945819854736,,
27,train,0.8690238330767237,0.0,0.24931658508793494,0.992684659090909,1.0,0.8045170440213122,1.0,0.8775568181818182,0.10110307495163387,0.5923509240150452,0.08008414099458605,14984.240139144702
27,val,0.8621535266413249,0.557843137254902,0.3884532529082292,0.9793836805555556,1.0,0.23176918199112237,0.442156862745098,0.5872395833333334,0.5476001287983927,4.7616002559661865,,
28,train,0.867773871098391,0.0,0.22797246249817285,0.9938210227272727,1.0,0.8014171175520624,1.0,0.8811079545454545,0.09849204178279537,0.5658327639102936,0.08040878298925236,14923.742847350333
28,val,0.8419841446965519,0.568954248366013,0.3558595433003016,0.9813368055555556,1.0,0.24583333333333335,0.43104575163398695,0.611328125,0.5040191209946634,5.262892723083496,,
29,train,0.8578324975022538,0.0,0.2119455849709624,0.9984375,1.0,0.8262672373698576,1.0,0.89453125,0.09893575144529207,0.5103404283523559,0.08023255201987922,14956.5228799238
29,val,0.8617250463640731,0.6094771241830066,0.3054717794054287,0.9832899305555556,1.0,0.2539602291877317,0.39052287581699346,0.6414930555555556,0.4904525708246333,5.2833839654922485,,
30,train,0.8759406386916948,0.0015503875968992248,0.17772422422172435,0.9949573863636363,1.0,0.8456355466155202,0.9984496124031008,0.909375,0.09912678251636875,0.5230375289916992,0.18545988795813173,6470.4018384336805
30,val,0.885981674060329,0.6205882352941177,0.28216286083584663,0.9906684027777778,1.0,0.26679104477611937,0.37941176470588234,0.658203125,0.4602698070122042,5.767530679702759,,
31,train,0.8822019588413902,0.0,0.23583395629258663,0.9949573863636363,1.0,0.8042305057937009,1.0,0.8800426136363637,0.09909553305933425,0.5760897159576416,0.08442964102141559,14213.01791032867
31,val,0.8893319818889722,0.6205882352941177,0.261611374407583,0.9906684027777778,1.0,0.27936507936507937,0.37941176470588234,0.6740451388888888,0.4293628516035114,6.030796051025391,,
32,train,0.8825829872946169,0.004932704789232767,0.1810444967088843,0.9946022727272726,1.0,0.8477705665558398,0.9950672952107673,0.9080255681818181,0.09983584630830913,0.5297852337360383,0.08012546598911285,14976.51196391234
32,val,0.8786622494614373,0.5431372549019607,0.3171262386902197,0.9887152777777778,1.0,0.2756849315068493,0.45686274509803926,0.646484375,0.4357607572493746,5.435393571853638,,
33,train,0.8843785059511322,0.0,0.19756296830045017,0.9984375,1.0,0.8325097857000145,1.0,0.9002130681818181,0.08947565603497493,0.5034312009811401,0.08010834798915312,14979.712228774
33,val,0.8881383657636535,0.6686274509803922,0.24067212408444638,0.994140625,1.0,0.26111111111111107,0.33137254901960783,0.6814236111111112,0.3959216145535588,6.317631959915161,,
34,train,0.8888939958785407,0.0,0.1674483057670064,0.9946022727272726,1.0,0.8544094178034112,1.0,0.9154119318181818,0.08505692366321589,0.41764848232269286,0.08006037201266736,14988.688783636091
34,val,0.8986740924883634,0.6797385620915033,0.2337570012925463,0.99609375,1.0,0.25254237288135595,0.3202614379084967,0.6848958333333333,0.34172335282471517,6.68305778503418,,
35,train,0.8978074132634157,0.0,0.1428609032976561,1.0,1.0,0.8712908198356143,1.0,0.9272017045454545,0.08656517877500669,0.37248345017433165,0.07992982299765572,15013.169740601015
35,val,0.8976777367837105,0.6797385620915033,0.22664799655320983,0.994140625,1.0,0.26617873651771956,0.3202614379084967,0.6907552083333333,0.35367440120250293,6.680469512939453,,
36,train,0.9062302461825311,0.0,0.1296557840200312,0.99609375,1.0,0.8721227642392014,1.0,0.93125,0.09593325856762953,0.36759435534477236,0.08002854802180082,14994.649155362715
36,val,0.9002727819477312,0.6797385620915033,0.22210254200775528,0.994140625,1.0,0.26880877742946707,0.3202614379084967,0.6942274305555556,0.3329590801765445,6.9654645919799805,,
37,train,0.9072933890137144,0.0,0.15785035765188682,0.9953125,1.0,0.8713528985324789,1.0,0.923934659090909,0.09276692477783412,0.38385067582130433,0.08014564000768587,14972.742121529274
37,val,0.9083044825302851,0.6797385620915033,0.22210254200775528,0.994140625,1.0,0.26880877742946707,0.3202614379084967,0.6942274305555556,0.26326996530159164,7.242033958435059,,
38,train,0.9104166982864792,0.0,0.14125533523501915,0.99921875,1.0,0.8765390877667855,1.0,0.9300426136363636,0.0950539980562674,0.3682355940341949,0.08045405999291688,14915.34423627157
38,val,0.9143144993059751,0.6797385620915033,0.15788453252908227,0.994140625,1.0,0.34773936170212766,0.3202614379084967,0.744140625,0.24998480352034635,7.566209316253662,,
39,train,0.9184757158287209,0.0,0.12899153999359902,0.996875,1.0,0.8824825882724637,1.0,0.9344460227272726,0.09235617990176029,0.34964544177055357,0.0805482380092144,14897.905027577695
39,val,0.9240637378534302,0.7019607843137254,0.1464239551917277,0.99609375,1.0,0.3153846153846154,0.2980392156862745,0.7491319444444444,0.26228104338237923,8.287445545196533,,
40,train,0.9206608038310978,0.0027210884353741495,0.13172002911626982,0.996875,1.0,0.8897008729331913,0.9972789115646258,0.9352272727272727,0.08962898159220659,0.3854990005493164,0.08026550296926871,14950.382861980503
40,val,0.9292635009365363,0.7019607843137254,0.15570874623007322,0.99609375,1.0,0.2956521739130435,0.2980392156862745,0.7417534722222222,0.22075172183242983,8.47891616821289,,
41,train,0.9280438066290861,0.009107523606457509,0.10070283056921214,0.9941761363636363,1.0,0.9140973862383875,0.9908924763935424,0.946377840909091,0.09383993875365167,0.3870927393436432,0.08040201099356636,14924.999824892713
41,val,0.9430257701444336,0.7571895424836601,0.10967255493321844,0.998046875,1.0,0.33333333333333337,0.24281045751633987,0.7654079861111112,0.18791901184695564,9.365742444992065,,
42,train,0.9322017795744945,0.0,0.1233147509509365,0.99296875,1.0,0.8975261713991423,1.0,0.9407670454545455,0.09398973967144934,0.3590421319007874,0.08053661597659811,14900.054906065205
