epoch,split,is_best,loss,correction_loss,confidence_loss,risk_loss,correction_bit_accuracy,correction_precision,correction_recall,correction_f1,patch_exact_match,confidence_mae,risk_mae
0.0,train,0.0,2.730800896920098,2.086688051096598,0.33113863969379004,0.3129742034541236,0.96337,0.6013909882674728,0.6368508558389031,0.6186131851299981,0.48489444444444446,0.13401632391611734,0.1386489326900906
0.0,val,1.0,2.2832880009969077,1.6447831714630128,0.3296724150498708,0.3088324149131775,0.9659953333333333,0.6379726349860232,0.6215759069994123,0.6296675451779893,0.5019666666666667,0.12461967542966207,0.12042236250241597
1.0,train,0.0,2.2223161170535617,1.5865419495688544,0.3278645300706228,0.307909643734826,0.965124,0.6207468803997465,0.648627275369085,0.6343808969132206,0.5001166666666667,0.1167497001224094,0.11522146286434598
1.0,val,1.0,2.2025909812927247,1.5682250231424968,0.32710860454241436,0.30725734086831413,0.96516,0.6189046344479016,0.6529535713773776,0.6354733405875952,0.5056833333333334,0.11413749980926513,0.11334095735549926
2.0,train,0.0,2.193351230536567,1.5588863106197781,0.32716710415946115,0.3072978098021613,0.9650813333333333,0.6186431914539675,0.655506381275874,0.6365415307751023,0.5014444444444445,0.11329680360158284,0.11145120694902208
2.0,val,1.0,2.195576548131307,1.5614648679097494,0.3269637882232666,0.3071478930234909,0.964634,0.6097496913823445,0.6655390393188366,0.636424072538363,0.49945,0.11407989743550619,0.11170773388544718
3.0,train,0.0,2.1786605837080213,1.5448578636593289,0.3268105202462938,0.30699219761424595,0.9650428888888889,0.6169414359138523,0.6610420606828609,0.63823083663158,0.5024888888888889,0.11164222422705757,0.10979501152038575
3.0,val,0.0,2.1973212847391763,1.5636170546213786,0.3267968047618866,0.3069074193398158,0.965756,0.6296713985649238,0.6402677637142898,0.6349253731343284,0.50945,0.109921550989151,0.10968431385358175
4.0,train,0.0,2.1688825582292344,1.5354045463562012,0.3266494572427538,0.3068285552713606,0.9651144444444445,0.6175422855518442,0.6623330840213233,0.6391539304948661,0.50385,0.11047198948330349,0.10879199819564819
4.0,val,0.0,2.201273558298747,1.5677983043670654,0.326447212934494,0.3070280483881632,0.9645486666666667,0.6095740182865599,0.661310436764474,0.6343891589376199,0.49711666666666665,0.11180162555376688,0.11275681536992391
5.0,train,0.0,2.159930948215061,1.5266593217637803,0.32652648164961073,0.3067451533741421,0.9651166666666666,0.6169825330598968,0.6650247009446861,0.6401034466156312,0.5035555555555555,0.10985493654674953,0.10835419560538398
5.0,val,0.0,2.195506232961019,1.5623237843831381,0.326369534444809,0.3068129111846288,0.9632606666666667,0.5906156471839521,0.684546249444548,0.6341214040538836,0.4890333333333333,0.10963032026290893,0.10740713968276977
6.0,train,0.0,2.1509473642137316,1.5178309752994112,0.32645201439327665,0.3066643720891741,0.9650275555555555,0.6154752432156784,0.6669683818380171,0.6401880269968724,0.5030611111111111,0.10938371325598822,0.10793363936742147
6.0,val,0.0,2.203317076873779,1.5679824778238933,0.327612807448705,0.30772178591887156,0.9638413333333333,0.5983329321898633,0.6770494388142712,0.6352619969873036,0.48905,0.1139159742196401,0.1114695613861084
7.0,train,0.0,2.1418249571906194,1.5088447738223605,0.3263609480963813,0.30661922878159414,0.965034,0.615171912111412,0.6687643810948449,0.6408496515707278,0.5035611111111111,0.10882632389068604,0.10744227628707886
7.0,val,1.0,2.2102129557291668,1.5771885487874349,0.32632432696024577,0.3067000785112381,0.9649926666666667,0.6153578688349203,0.659575993004888,0.6367001293768464,0.5034166666666666,0.10856044928232829,0.10725672221183777
8.0,train,0.0,2.133766492292616,1.5007967090394763,0.3263425559255812,0.3066272258175744,0.9649955555555556,0.6147440811231083,0.6685833519920347,0.6405343605518866,0.5021388888888889,0.10864480187098186,0.10753027531305949
8.0,val,0.0,2.200559468841553,1.5678509373982747,0.32619051264127097,0.3065180051883062,0.9642926666666667,0.604483194469523,0.6718174390436191,0.6363741284615437,0.49625,0.10881886660257975,0.10757721729278565
9.0,train,0.0,2.124342291386922,1.491477203072442,0.3262906919002533,0.30657439818382265,0.9648557777777778,0.6124810945187142,0.6713654834668026,0.6405729051847374,0.5012166666666666,0.10817110011842515,0.10721385004255507
9.0,val,0.0,2.210991545232137,1.5781668604532877,0.326224475590388,0.30660021562576295,0.9652546666666667,0.6204749354781445,0.6513194673394206,0.6355231688042855,0.5062,0.1074284862836202,0.10735209956169128
10.0,train,0.0,2.116880994817946,1.4839905118730332,0.3262966081619263,0.3065938742266761,0.9649073333333333,0.6128596731901297,0.6725278808637947,0.6413088659175621,0.5017277777777778,0.1081751259273953,0.10718519437577989
10.0,val,0.0,2.2230700375874837,1.5902208707173666,0.3262990427176158,0.30655013053417207,0.9643326666666666,0.6057209725653361,0.6677751816865674,0.6352362057092988,0.49566666666666664,0.10684566961924236,0.10518583965301513
11.0,train,0.0,2.107721659427219,1.4748929949442546,0.32625426358646814,0.3065744005309211,0.9647937777777778,0.6112054329371817,0.6739999333050674,0.6410686289613673,0.5002055555555556,0.10810307095845541,0.10732729767693414
11.0,val,0.0,2.2226659372965494,1.5899808530171713,0.3261485481262207,0.3065365388870239,0.9648566666666667,0.6134415757253128,0.6607227326806473,0.6362049094911768,0.5035,0.10743036767641703,0.1054437886873881
12.0,train,0.0,2.096757359398736,1.4639144943873088,0.32625959703657365,0.30658326958550347,0.9647322222222222,0.6102475111095801,0.6751385110832686,0.6410550432778535,0.4993222222222222,0.10809941392474705,0.10735837019814386
12.0,val,0.0,2.228301857248942,1.5956663689931234,0.32612335076332094,0.3065121287981669,0.9640853333333333,0.6027998085158686,0.6678468529163023,0.633658383994995,0.4983,0.10787446103096009,0.1066491914431254
13.0,train,0.0,2.0864114330715604,1.4535913537767198,0.32625378470950656,0.3065662908554077,0.9646642222222223,0.6091319188350114,0.6767248976947373,0.6411518454577255,0.49955555555555553,0.10797475990719266,0.1071313260184394
13.0,val,0.0,2.25794965616862,1.624663273747762,0.3263305580774943,0.3069558288256327,0.964312,0.6056581910973975,0.6668291214540659,0.6347733537101221,0.49341666666666667,0.10889327925046285,0.10917122888565063
