risk_threshold,confidence_threshold,risk_accuracy,precision,recall,false_negative_rate,false_positive_rate,f1,expected_fast_selection_rate,expected_accurate_selection_rate,expected_oracle_gap
0.05,0.0,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.1,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.2,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.3,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.4,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.5,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.6,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.7,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.8,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.1675,0.8325,0.0025
0.05,0.9,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.16,0.84,0.0
0.05,0.95,0.36,0.23423423423423423,0.9873417721518988,0.012658227848101266,0.794392523364486,0.3786407766990291,0.155,0.845,0.0
0.1,0.0,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.1,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.2,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.3,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.4,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.5,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.6,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.7,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.8,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.185,0.815,0.0075
0.1,0.9,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.17,0.83,0.0025
0.1,0.95,0.3675,0.2331288343558282,0.9620253164556962,0.0379746835443038,0.778816199376947,0.3753086419753086,0.155,0.845,0.0
0.15,0.0,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.1,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.2,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.3,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.4,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.5,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.6,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1975,0.8025,0.0075
0.15,0.7,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.195,0.805,0.0075
0.15,0.8,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.195,0.805,0.0075
0.15,0.9,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.1725,0.8275,0.0025
0.15,0.95,0.38,0.2367601246105919,0.9620253164556962,0.0379746835443038,0.7632398753894081,0.38,0.155,0.845,0.0
0.2,0.0,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.1,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.2,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.3,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.4,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.5,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
0.2,0.6,0.3975,0.24203821656050956,0.9620253164556962,0.0379746835443038,0.7414330218068536,0.38676844783715014,0.215,0.785,0.0075
